industry_type,Bearing_102,Bearing_104,Bearing_105,Bearing_108,Bearing_109,Bearing_11,Bearing_111,Bearing_115,Bearing_116,Bearing_118,Bearing_119,Bearing_12,Bearing_121,Bearing_123,Bearing_125,Bearing_129,Bearing_13,Bearing_131,Bearing_132,Bearing_134,Bearing_135,Bearing_14,Bearing_140,Bearing_141,Bearing_148,Bearing_15,Bearing_150,Bearing_153,Bearing_157,Bearing_159,Bearing_16,Bearing_161,Bearing_168,Bearing_171,Bearing_173,Bearing_176,Bearing_178,Bearing_18,Bearing_184,Bearing_186,Bearing_19,Bearing_190,Bearing_192,Bearing_193,Bearing_198,Bearing_20,Bearing_200,Bearing_204,Bearing_205,Bearing_212,Bearing_213,Bearing_214,Bearing_215,Bearing_22,Bearing_220,Bearing_223,Bearing_224,Bearing_225,Bearing_228,Bearing_23,Bearing_233,Bearing_236,Bearing_237,Bearing_24,Bearing_241,Bearing_242,Bearing_245,Bearing_249,Bearing_26,Bearing_264,Bearing_266,Bearing_27,Bearing_276,Bearing_283,Bearing_286,Bearing_29,Bearing_3,Bearing_30,Bearing_304,Bearing_31,Bearing_321,Bearing_33,Bearing_330,Bearing_339,Bearing_34,Bearing_340,Bearing_341,Bearing_343,Bearing_345,Bearing_347,Bearing_353,Bearing_367,Bearing_368,Bearing_37,Bearing_377,Bearing_379,Bearing_38,Bearing_383,Bearing_384,Bearing_4,Bearing_400,Bearing_402,Bearing_41,Bearing_410,Bearing_427,Bearing_43,Bearing_45,Bearing_46,Bearing_47,Bearing_48,Bearing_49,Bearing_5,Bearing_501,Bearing_51,Bearing_52,Bearing_53,Bearing_54,Bearing_55,Bearing_58,Bearing_59,Bearing_6,Bearing_60,Bearing_61,Bearing_63,Bearing_66,Bearing_67,Bearing_678,Bearing_69,Bearing_7,Bearing_75,Bearing_76,Bearing_8,Bearing_80,Bearing_81,Bearing_82,Bearing_86,Bearing_88,Bearing_9,Bearing_91,Bearing_93,Bearing_94,Bearing_96,Bearing_98,Bearing_99
INDUSTRY_1,0.0,0.0,833.8,0.0,708.8,784.4285714285714,0.0,682.5,0.0,684.8888888888889,993.5,266.53061224489795,0.0,0.0,0.0,525.6666666666666,385.0833333333333,0.0,652.8,0.0,0.0,725.56,0.0,195.6,0.0,1016.952380952381,0.0,0.0,0.0,0.0,0.0,0.0,495.6666666666667,0.0,253.2,0.0,0.0,505.0,0.0,0.0,548.2,0.0,0.0,0.0,321.8,639.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.5833333333334,0.0,0.0,649.4,0.0,0.0,572.3333333333334,0.0,0.0,0.0,358.1111111111111,351.6666666666667,0.0,0.0,290.90909090909093,0.0,0.0,395.2,0.0,1210.3333333333333,0.0,0.0,0.0,798.6190476190476,0.0,0.0,0.0,0.0,0.0,0.0,871.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,624.375,0.0,203.85714285714286,0.0,0.0,0.0,1015.8333333333334,0.0,452.8333333333333,331.2,704.2,102.66666666666667,168.4,0.0,677.4545454545455,606.7777777777778,0.0,175.525,720.3333333333334,0.0,0.0,243.625,0.0,0.0,276.125,572.75,112.28571428571429,738.7142857142857,0.0,355.5652173913044,0.0,748.4,0.0,0.0,460.14285714285717,0.0,0.0,0.0,815.6,0.0,0.0,455.55,0.0,0.0,0.0,481.5,384.6,0.0,0.0,0.0,0.0
INDUSTRY_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_11,585.9411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.58333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.3125,378.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_2,0.0,0.0,0.0,0.0,1329.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.5454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.5833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.63636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.8333333333333,0.0,0.0,0.0,0.0
INDUSTRY_3,0.0,529.9565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.2857142857143,0.0,0.0,0.0,0.0,0.0,311.125,0.0,0.0,689.8181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.8928571428571,250.83333333333334,0.0,0.0,0.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,560.8461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.5,0.0,0.0,0.0,0.0,0.0,0.0,468.83870967741933,0.0,0.0,617.5,0.0,0.0,0.0,1057.090909090909,516.0,669.9130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.6,0.0,0.0,0.0,0.0,0.0,752.0,0.0,0.0,0.0,0.0,594.9,0.0,0.0,0.0,747.0,0.0,679.4,0.0,977.3333333333334,0.0,0.0
INDUSTRY_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6153846153846,0.0,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_5,0.0,0.0,365.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.5357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.6,0.0,326.0,0.0,483.1034482758621,368.8888888888889,385.06451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.5,0.0,0.0,468.46153846153845,0.0,0.0,0.0,0.0,0.0,413.75,0.0,375.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0
INDUSTRY_7,0.0,0.0,423.54716981132077,740.8,0.0,348.5833333333333,541.3076923076923,440.6363636363636,513.4444444444445,0.0,504.2105263157895,461.31176470588235,667.6363636363636,428.125,527.75,0.0,386.45454545454544,564.375,0.0,383.4,270.8333333333333,0.0,0.0,557.25,577.0,638.2727272727273,496.2857142857143,666.3333333333334,407.6470588235294,0.0,573.578947368421,0.0,0.0,410.75,501.6326530612245,0.0,0.0,422.03333333333336,448.70588235294116,449.75,437.8,616.8571428571429,0.0,880.1666666666666,0.0,425.6666666666667,0.0,539.4444444444445,241.85714285714286,382.2,0.0,508.8125,0.0,299.4,602.7777777777778,468.875,325.6,368.09090909090907,309.6666666666667,0.0,111.0,0.0,289.1666666666667,1060.625,432.7142857142857,262.47058823529414,376.82608695652175,0.0,351.22727272727275,237.63636363636363,0.0,684.0769230769231,240.2,386.0,291.15384615384613,0.0,567.1111111111111,258.8333333333333,188.83333333333334,0.0,712.3636363636364,209.55555555555554,0.0,0.0,607.3461538461538,0.0,206.88741721854305,337.2857142857143,0.0,204.0625,182.36363636363637,590.6,0.0,444.27272727272725,0.0,521.8888888888889,525.1978021978022,143.9090909090909,171.42857142857142,0.0,409.5,0.0,732.5,0.0,315.46666666666664,745.3636363636364,0.0,532.4615384615385,511.8,0.0,557.379746835443,332.3666666666667,0.0,519.6984126984127,607.5555555555555,672.5882352941177,738.4444444444445,948.3571428571429,511.51162790697674,230.35714285714286,485.75,366.0689655172414,552.3333333333334,523.0526315789474,407.8,351.8,0.0,494.4761904761905,336.3636363636364,0.0,555.074074074074,0.0,0.0,467.5357142857143,0.0,487.95652173913044,587.8823529411765,0.0,510.95,0.0,450.037037037037,469.8,466.8333333333333,341.3
INDUSTRY_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRY_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
